Shelfmark,Contents,Link to Digitised Manuscripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19795,Grant of Archbishop Wulfstan (d. 1023) to Wulfgifu,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19796,"Grant of Abbot Ælfweard of Evesham (d. 1044), and the community at Evesham, to Æthelmær",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19797,"Grant of Bishop Brihtheah of Worcester (r. 1033–38) to Wulfmær, cniht",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19798,Grant of Bishop Lyfing of Worcester (d. 1046) to Earcytel,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19799,"Grant of Bishop Lyfing of Worcester (d. 1046) to Æthelric, his thegn",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19800,"Grant of Bishop Ealdred (d. 1069) to Balwine, his man",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19801,"Grant of Bishop Ealdred (d. 1069) to Dodda, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19802,Writ of King Edward the Confessor (r. 1042–1066) concerning the monk Wulfstan,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 2607,"Order of Charles, Duke of Orléans, to Pierre Sauvage, his secretary, to pay for a complete set of armour",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 28657,Confirmation of King Edward the Confessor (r. 1042–1066) concerning gifts made by Earl Leofric and Godgifu,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_28657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 33597,"Charter of King John of England (r. 1199–1216) to St James-extra-Huntingdon (Hinchingbrooke Priory), 10 June 1199",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_33597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 33686,Four grants to Ramsey Abbey,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_33686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 34040,"Charter of King John of England (r. 1199–1216) to Sawtry Abbey, 7 June 1205",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_34040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 54148,"Bull of Pope Alexander III relating to Kilham, Yorkshire",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_54148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 76659,"Confirmations by the Patriarch of Constantinople of the stavropegiacal rights of the Monastery of Theotokos Chrysopodariotissa near Kalanos, in the province of Patras in the Peloponnese",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_76659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 76660,"Confirmations by the Patriarch of Constantinople of the stavropegiacal rights of the Monastery of Theotokos Chrysopodariotissa near Kalanos, in the province of Patras in the Peloponnese",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_76660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 77732,"Notarial copy of the negotiations for the marriage of Prince Edward of England (the future King Edward II) and Philippa, daughter of Count Guy of Flanders, 31 October 1299",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_77732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 77736,Notification by King Henry I of England (1100–1135) relating to 'Bradenache',http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_77736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 77737,Confirmation by King Henry II of England (1154–1189) of a notification by King Henry I relating to 'Bradenache',http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_77737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10014,"Works of Macarius Alexandrinus, John Chrysostom and others ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10016,Pseudo-Nonnus; Maximus the Peloponnesian; Hilarion Kigalas ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10017,"History of Roman Jurisprudence during the Middle Ages, translated into Modern Greek ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10022,"Procopius of Gaza, Commentary on Genesis ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10023,"Procopius of Gaza, Commentary on the Octateuch",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10024,"Vikentios Damodos, On Metaphysics",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10040,"Aristotle, Categoriae and other works with scholia ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10057,"Euripides, Tragedies with scholia ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10058,"Galen, excerpts from various Works and vocabularies; Andromachus, Fragment ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10060,Aphthonius the Sophist,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10061,"Sopater, Prolegomena in Aristidem",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10062,"Works of Aelius Aristides, Gregory of Cyprus, Aristotle",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10063,"Olympiodorus, In Platonis Phaedonem commentaria",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10064,"Simplicius, Commentary on Epictetus' Enchiridion; Tractatus de quinque dialectis; Herodian, De encliticis nominibus Græce ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10065,Works of Georgios Gemistus Plethon ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10066,Treatise on Greek grammar; selection of Homeric epimerisms ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10067,"Plutarch, Regum et imperatorum apophthegmata ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10068,Catena patrum ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10069,Works of Basil of Caesarea ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10070,"Theodoretus, Explanatio in Canticum canticorum; Gregory of Nyssa, In Canticum canticorum ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10071,"Theodorus Prodromus, Commentary on the asmatic canons of Kosmas the Melodist ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10072,Works of Demetrius Cydones and others ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10073,"Works of Gregory of Nazianzus, Epiphanius of Cyprus and others; Synaxarion ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10074,"Meletios Pegas, Dialogue on the Christian Faith ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10075,"Vassileios Vatatzes, Poem about Voyages ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10076,Argonautica ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10077,Hilarion Kigalas and other works ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10078,"Anonymous or Georgios Serouios (Serbios?), Modern Greek translations of Voltaire, La Mort de César and La fanatisme ou Mahomet le Prophète ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10084,"Gaius Julius Caesar, Bellum Gallicum; Bellum Civile; Bellum Alexandrinum; Bellum Africanum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10109,"Account book of payments made by James Nedam, 1542–1543",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10112,"Inventory of paintings and statues belonging to King Charles I, 1639",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10289,"Li Romanz du Mont Saint-Michel, a miscellany of romances, moralistic and religious texts and medical recipes",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10290,"The Middle Dutch Historie van Jason and Dat Scaecspel 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10292,Lancelot Grail,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10293,Lancelot Grail,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10294,Lancelot-Grail (The Prose Vulgate Cycle) ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10294/1,Lancelot Grail,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10294/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10302,"Thomas Norton, Ordinal of Alchemy 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10308,Poems of Sir Robert Ayton,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10366,"Petrus, pictor Burgensis, De prospectiva pingendi",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10375,Festal service for St Onouphrios ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10376,"St Francis de Sales, Introduction to a Devout Life ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10377,"Nikolaos Koursoulas of Zakynthos, Synopsis of the Orthodox Theology ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10378,"Xenophon, Ephesiaca ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10379,"Antonios Mpoumpoules, Lamentation poem of Athens on the death of Michael Limponas ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10422,"Robert Southwell, S.J., Collection of poetry and prose",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10449,Stage plots of five Elizabethan plays,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10459,"Jonas of Orléans, De institutione Laicali; Epistola Concilii Aquisgranensis ad Pippinum Regem directa",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10546,The Moutier-Grandval Bible,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10546/1,Detached binding formerly attached to Add MS 10546 (the 'Moutier-Grandval Bible') ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10546/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10968,Selections from the Old and New Testament ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10969,"Scholia on Dionysius Periegietes, Orbis descriptio; Oracula Sibyllina ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10970,"Zosimus, Historia nova ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 10971,"Theon, De utilitate mathematicae ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_10971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11034," Bede, Versus de die iudicii, lines 128–55; Pseudo-Priscian, Carmen de sideribus, ‘Ad boreae partes arctoi vertuntur et anguis’; Arator, Historia apostolica (Clavis Patrum Latinorum 1504), books 1–2, with scholia by ‘Anonymous X’,  Modoin of Autun, Ecloga (for Charlemagne)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11252,"Letters of King Charles I to Prince Charles and to the Speaker of the House of Lords, 1646-1648; letters on Scottish politics, 1681-1688; epitaph on Mary Digby (d. 1692); 17th-century cipher keys",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11270,"Scholia on Apollonius of Rhodes, Argonautica ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11283,Bestiary,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11300,Four Gospels (Gregory-Aland 478) ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11342,Sermon in Ancient Greek and Latin ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11355,"Virgil, Opera (Sanvito)",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11356,"Works of Phocylides, Pythagoras and Gavrios Hellen ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11390,"Jacob van Maerlant, Der naturen bloeme 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11414,"Missal, use of Sarum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add MS 11440 
","Canon law
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11509,An account of payments made in Normandy by the Receiver-General of King Henry VI in 1448 and 1449,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11575,"Spieghel der menscheliker behoudenisse (the Speculum humanæ salvationis in Dutch) 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add MS 11662 
","A versified chronicle from the priory of Saint-Martin-des-Champs (imperfect), followed by a modern copy of its cartulary 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11695,The 'Silos Apocalypse',http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11727,"Thucydides, Historiae, with scholia by Marcellinus ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11728,"Polybius, Historiae ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11752,Bilingual Psalter in Latin and Greek ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11835,Psalter (Rahlfs 1653) ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11836,New Testament with Psalms ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11837,New Testament ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11838,Gospels ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11839,Four Gospels ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11840,Gospel Lectionary with ekphonetic notation (Gregory-Aland l189); Synaxarion ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add MS 11841,Lectionary ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_11841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
